case,season,age,matches,wins,losses,titles,majorTitles,centuries,highestBreak,overall,cash,cashDelta,recordedCategoryTotal,unclassifiedCashChange,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age16-104729,2033/34,24,9,1,8,0,0,0,88,85,135459.22,33035.65,31035.65,2000.0,2000,36353,-1872,0,-122,-200,-2260,0,-2863.35
age16-104729,2034/35,25,23,12,11,0,0,12,144,86,203690.84,68231.62,67231.62,1000.0,22100,59813,-1872,0,0,0,-6323,-180,-6306.38
age16-104729,2035/36,26,31,21,10,0,0,15,138,87,234384.09,30693.25,30493.25,200.0,700,49389,-1872,0,-84,-1685,-3943.08,0,-12011.67
age16-104729,2036/37,27,26,14,10,0,0,16,134,88,294728.67,60344.58,59344.58,1000.0,41750,31129,-1872,0,-122,0,-5731.44,-360,-5448.98
age16-104729,2037/38,28,21,9,11,0,0,12,141,88,358402.15,63673.48,62273.48,1400.0,16900,59539,-1872,0,0,0,-5480.64,-540,-6272.88
age16-104729,2038/39,29,42,36,6,3,0,27,145,89,507442.87,149040.72,149090.72,-50.0,87250,61050,-1833,0,-122,-1685,-3756,-540,8726.72
age16-104729,2039/40,30,22,12,9,0,0,15,141,90,558540.25,51097.38,49697.38,1400.0,34600,27726,-1755,0,-84,0,-6228,0,-4561.62
age16-104729,2040/41,31,30,18,11,0,0,28,141,91,660477.54,101937.29,99937.29,2000.0,53200,63537,-1872,0,-122,0,-5480.64,-540,-8785.07
age16-104729,2041/42,32,17,14,3,0,0,8,144,91,705708.89,45231.35,45031.35,200.0,3960,51079,-1872,0,0,-1335,-1568.28,0,-5232.37
age16-104729,2042/43,33,26,14,9,0,0,17,136,92,766821.73,61112.84,60112.84,1000.0,29950,43903,-1443,0,-122,0,-6228,-180,-5767.16
age16-104729,2043/44,34,24,13,8,0,0,14,141,92,875607.98,108786.25,108786.25,0.0,58600,64790,-585,0,-84,0,-6418,0,-7516.75
age16-104729,2044/45,35,23,18,5,0,0,10,139,93,933029.18,57421.2,57121.2,300.0,3540,65000,-1872,0,0,-1235,-1632,0,-6679.8
age16-104729,2045/46,36,14,8,6,0,0,5,140,93,965902.21,32873.03,32573.03,300.0,1250,40733,-1872,0,-38,-1335,-1750.68,-360,-4054.29
age16-104729,2046/47,37,16,12,4,0,0,8,126,93,983672.57,17770.36,17320.36,450.0,750,24456,-1872,0,-84,-1335,-1686.96,0,-2907.68
age16-104729,2047/48,38,26,14,10,0,0,11,145,93,1045104.18,61431.61,59431.61,2000.0,37950,34734,-1872,0,0,0,-5549.04,0,-5831.35
age16-104729,2048/49,39,25,13,10,0,0,14,133,93,1124027.5,78923.32,77523.32,1400.0,29900,62840,-1872,0,-122,0,-6228,0,-6994.68
age16-104729,2049/50,40,14,10,4,0,0,6,130,93,1165278.81,41251.31,40801.31,450.0,0,50357,-1872,0,0,-1235,-1499.88,0,-4948.81
age16-104729,2050/51,41,19,14,5,0,0,10,138,92,1196661.8,31382.99,31182.99,200.0,5122.5,33592,-1872,0,-84,-375,-1436.16,0,-3764.35
age16-104729,2051/52,42,17,10,7,0,0,6,141,92,1211959.4,15297.6,14997.6,300.0,2000,21000,-1872,0,0,-1335,-2202,0,-2593.4
age16-104729,2052/53,43,8,3,5,0,0,4,141,91,1227169.91,15210.51,15160.51,50.0,0,21236,-1872,0,-38,-375,-1436.16,-180,-2174.33
age16-104729,2053/54,44,22,19,3,1,0,10,138,90,1255044.4,27874.49,27674.49,200.0,12062.5,20037,-1794,0,-84,-375,-1436.16,-180,-555.85
age16-104729,2054/55,45,26,16,9,0,0,27,138,89,1328539.99,73495.59,72495.59,1000.0,43500,43358,-1794,0,0,0,-5731.44,-360,-6476.97
age16-104729,2055/56,46,22,12,8,0,0,17,143,88,1394603.04,66063.05,65063.05,1000.0,14250,65669,-1872,0,-122,0,-4644.64,-360,-7857.31
age16-104729,2056/57,47,19,12,7,0,0,10,138,87,1446998.72,52395.68,52195.68,200.0,3960,59186,-1872,0,-84,-1335,-1937.76,0,-5721.56
age16-104729,2057/58,48,16,9,7,0,0,5,127,86,1465454.39,18455.67,18255.67,200.0,1200,23885,-585,0,0,-1335,-1937.76,-180,-2791.57
age16-104729,2058/59,49,7,2,5,0,0,1,115,85,1483664.04,18209.65,18259.65,-50.0,0,24012,-1443,0,0,-375,-1568.28,0,-2366.07
age16-104729,2059/60,50,10,5,5,0,0,3,128,83,1497793.39,14129.35,13929.35,200.0,0,20169,-1872,0,-38,-375,-1632,0,-2322.65
age16-104729,2060/61,51,11,5,6,0,0,2,127,82,1513956.54,16163.15,16213.15,-50.0,750,21938,-1872,0,0,-375,-1499.88,-360,-2367.97
age16-104729,2061/62,52,6,0,6,0,0,2,115,80,1532045.02,18088.48,18138.48,-50.0,0,24310,-1872,0,-84,-375,-1436.16,0,-2404.36
age16-104729,2062/63,53,11,4,7,0,0,2,132,78,1547513.79,15468.77,15268.77,200.0,0,22920,-1872,0,0,-1335,-1937.76,-180,-2326.47
age16-104729,2063/64,54,10,5,5,0,0,0,86,76,1560225.48,12711.69,12511.69,200.0,0,18509,-1872,0,0,-375,-1436.16,-180,-2134.15
age16-104729,2064/65,55,7,2,5,0,0,0,76,74,1574728.66,14503.18,14453.18,50.0,0,20495,-1872,0,0,-375,-1632,0,-2162.82
age16-104729,2065/66,56,6,1,5,0,0,0,54,72,1587356.35,12627.69,12677.69,-50.0,0,18687,-1872,0,0,-375,-1632,-180,-1950.31
age16-104729,2066/67,57,6,0,6,0,0,0,67,70,1600106.2,12749.85,12799.85,-50.0,0,18638,-1872,0,0,-375,-1632,0,-1959.15
age16-104729,2067/68,58,8,1,7,0,0,0,48,68,1613599.07,13492.87,13542.87,-50.0,0,21103,-1872,0,0,-1335,-2202,0,-2151.13
age16-104729,2068/69,59,8,0,8,0,0,0,46,66,1616583.25,2984.18,3034.18,-50.0,0,9631,-1716,0,-84,-1335,-2202,0,-1259.82
age16-104729,2069/70,60,6,0,6,0,0,0,55,64,1621916.26,5333.01,5383.01,-50.0,0,10653,-1872,0,-38,-375,-1632,0,-1352.99
age16-104729,2070/71,61,6,0,6,0,0,0,40,62,1635715.94,13799.68,13849.68,-50.0,0,19764,-1872,0,0,-375,-1632,0,-2035.32
age16-104729,2071/72,62,6,0,6,0,0,0,56,59,1647150.44,11434.5,11484.5,-50.0,0,17208,-1872,0,0,-375,-1632,0,-1844.5
age16-104729,2072/73,63,6,0,6,0,0,0,34,57,1659735.64,12585.2,12635.2,-50.0,0,16598,-156,0,0,-375,-1632,0,-1799.8
age16-104729,2073/74,64,8,0,8,0,0,0,41,55,1666316.88,6581.24,6631.24,-50.0,0,13404,-1872,0,0,-1335,-2006.16,0,-1559.6
age16-104729,2074/75,65,8,0,8,0,0,0,57,52,1668329.06,2012.18,2062.18,-50.0,0,8680,-1872,0,0,-1335,-2202,0,-1208.82
age16-130363,2026/27,17,32,22,10,1,0,0,56,66,4421.85,-3578.15,-4032.15,454.0,2080,2950,-1500,0,-8515,-335,-2565,0,3852.85
age16-130363,2027/28,18,27,17,10,2,0,0,87,70,5893.65,1471.8,1271.8,200.0,90,2550,-2284,0,0,-300,-2565,-180,3960.8
age16-130363,2028/29,19,34,26,8,2,0,0,90,74,8778.22,2884.57,2834.57,50.0,240,7914,-5645,0,0,-375,-2565,0,3265.57
age16-130363,2029/30,20,43,31,12,2,0,2,125,77,11707.88,2929.66,2729.66,200.0,1145,7428,-6212,0,-122,-375,-2565,-180,3610.66
age16-130363,2030/31,21,41,35,6,4,0,9,128,80,22835.59,11127.71,11177.71,-50.0,3783,9018,-3700,0,-84,-375,-2257.2,-180,4972.91
age16-130363,2031/32,22,44,32,12,0,0,9,139,82,38983.07,16147.48,15847.48,300.0,17160,9776,-1872,0,-602,-1785,-4193.88,0,-2635.64
age16-130363,2032/33,23,37,30,7,2,0,15,139,83,103955.53,64972.46,64672.46,300.0,51050,20818,-1872,0,0,-825,-3369,0,-1129.54
age16-130363,2033/34,24,15,8,7,1,0,5,145,85,145922.02,41966.49,40966.49,1000.0,13400,31561,-1872,0,-84,-100,-2260,0,321.49
age16-130363,2034/35,25,39,29,10,0,0,23,144,86,308650.1,162728.08,161328.08,1400.0,113900,64012,-1872,0,-122,0,-5753,0,-8836.92
age16-130363,2035/36,26,23,12,10,0,0,13,135,87,450377.38,141727.28,140727.28,1000.0,92250,66593,-1872,0,-38,0,-7463,0,-8742.72
age16-130363,2036/37,27,25,13,11,0,0,18,143,88,561492.64,111115.26,109715.26,1400.0,57850,68714,-1872,0,-84,0,-6233.04,-540,-8119.7
age16-130363,2037/38,28,21,11,10,0,0,17,139,88,668340.4,106847.76,105447.76,1400.0,51100,69951,-1443,0,-122,0,-6149.44,-180,-7708.8
age16-130363,2038/39,29,26,18,8,0,0,10,142,89,723878.68,55538.28,55588.28,-50.0,13100,60568,-585,0,0,-1685,-3369.0,0,-12440.72
age16-130363,2039/40,30,30,18,10,0,0,20,141,90,798478.58,74599.9,74599.9,0.0,47150,42567,-1755,0,-84,0,-6228,0,-7050.1
age16-130363,2040/41,31,23,11,11,0,0,14,138,91,888703.95,90225.37,88225.37,2000.0,42350,62180,-1833,0,-122,0,-6451.16,0,-7898.47
age16-130363,2041/42,32,17,11,6,0,0,9,144,91,935981.59,47277.64,46977.64,300.0,690,56612,-1872,0,0,-1335,-1721.16,0,-5396.2
age16-130363,2042/43,33,19,15,4,0,0,8,138,92,954084.49,18102.9,17902.9,200.0,540,26172,-1872,0,-84,-1335,-1917,0,-3601.1
age16-130363,2043/44,34,26,14,9,0,0,16,138,92,1041127.27,87042.78,85042.78,2000.0,66600,31373,-1872,0,-38,0,-6228,-180,-4612.22
age16-130363,2044/45,35,31,18,11,0,0,18,141,93,1146346.39,105219.12,103819.12,1400.0,61100,59872,-1872,0,-84,0,-6546.16,0,-8650.72
age16-130363,2045/46,36,29,18,10,0,0,17,141,93,1272009.71,125663.32,124663.32,1000.0,75000,66165,-1872,0,-122,0,-6483.84,0,-8023.84
age16-130363,2046/47,37,22,11,10,0,0,17,138,93,1372989.57,100979.86,99979.86,1000.0,46950,69905,-1872,0,-84,0,-6107.64,0,-8811.5
age16-130363,2047/48,38,19,8,10,0,0,9,135,93,1454187.9,81198.33,79798.33,1400.0,25500,70115,-1872,0,-38,0,-5898.64,-180,-7828.03
age16-130363,2048/49,39,20,16,4,0,0,12,139,93,1504219.48,50031.58,49981.58,50.0,2540,58134,-1872,0,-84,-1235,-1632,0,-5869.42
age16-130363,2049/50,40,17,13,4,1,0,4,137,93,1539386.84,35167.36,34717.36,450.0,9600,29076,-1872,0,0,-375,-1632,0,-79.64
age16-130363,2050/51,41,25,13,9,0,0,17,139,92,1602843.31,63456.47,62456.47,1000.0,40600,35420,-1872,0,-122,0,-6228,-180,-5161.53
age16-130363,2051/52,42,27,14,9,0,0,18,141,91,1682038.62,79195.31,77195.31,2000.0,32900,59838,-1872,0,0,0,-6228,0,-7442.69
age16-130363,2052/53,43,20,15,5,0,0,10,136,91,1740907.25,58868.63,58668.63,200.0,1940,66119,-1014,0,-84,-375,-1632,0,-6285.37
age16-130363,2053/54,44,10,5,5,0,0,3,142,90,1768485.03,27577.78,27127.78,450.0,0,33534,-1014,0,-38,-375,-1632,0,-3347.22
age16-130363,2054/55,45,13,9,4,0,0,2,108,89,1787214.63,18729.6,18529.6,200.0,412.5,24295,-1716,0,0,-375,-1499.88,0,-2587.02
age16-130363,2055/56,46,11,6,5,0,0,2,133,87,1804846.31,17631.68,17481.68,150.0,540,23320,-1872,0,0,-375,-1568.28,0,-2563.04
age16-130363,2056/57,47,17,10,7,0,0,7,137,86,1820680.06,15833.75,15533.75,300.0,600,23527,-1872,0,-84,-1335,-2202,-180,-2920.25
age16-130363,2057/58,48,22,14,8,0,0,8,136,85,1835859.74,15179.68,14879.68,300.0,940,22236,-1872,0,0,-1335,-1937.76,0,-3151.56
age16-130363,2058/59,49,15,10,5,0,0,7,140,84,1855867.68,20007.94,19807.94,200.0,1790,24869,-1872,0,-38,-375,-1632,0,-2934.06
age16-130363,2059/60,50,10,4,6,0,0,0,90,82,1869470.86,13603.18,13653.18,-50.0,750,18717,-1872,0,-84,-375,-1436.16,0,-2046.66
age16-130363,2060/61,51,9,4,5,0,0,1,102,80,1886200.64,16729.78,16429.78,300.0,0,22708,-1872,0,0,-375,-1632,0,-2399.22
age16-130363,2061/62,52,6,1,5,0,0,0,68,78,1903376.87,17176.23,16976.23,200.0,0,23022,-1872,0,0,-375,-1499.88,0,-2298.89
age16-130363,2062/63,53,10,3,7,0,0,0,66,76,1915411.51,12034.64,11884.64,150.0,0,19255,-1872,0,0,-1335,-2104.08,0,-2059.28
age16-130363,2063/64,54,8,3,5,0,0,0,88,74,1930848.45,15436.94,15236.94,200.0,0,21459,-1872,0,0,-375,-1568.28,-180,-2226.78
age16-130363,2064/65,55,6,0,6,0,0,0,44,71,1949680.6,18832.15,18632.15,200.0,0,24742,-1872,0,0,-375,-1436.16,0,-2426.69
age16-130363,2065/66,56,6,0,6,0,0,0,72,70,1961784.1,12103.5,12153.5,-50.0,0,17712,-1872,0,0,-375,-1436.16,0,-1875.34
age16-130363,2066/67,57,7,1,6,0,0,0,41,67,1970732.5,8948.4,8998.4,-50.0,0,14437,-1872,0,0,-375,-1568.28,0,-1623.32
age16-130363,2067/68,58,6,0,6,0,0,0,22,65,1986082.47,15349.97,15299.97,50.0,0,20414,-156,0,0,-1235,-1632,0,-2091.03
age16-130363,2068/69,59,8,0,8,0,0,0,41,63,1999614.25,13531.78,13581.78,-50.0,0,21342,-1794,0,-84,-1335,-2202,-180,-2165.22
age16-130363,2069/70,60,6,0,6,0,0,0,37,60,2004868.45,5254.2,5204.2,50.0,0,10168,-1794,0,0,-375,-1499.88,0,-1294.92
age16-130363,2070/71,61,6,0,6,0,0,0,27,58,2009145.39,4276.94,4326.94,-50.0,0,9294,-1872,0,-38,-375,-1436.16,0,-1245.9
age16-130363,2071/72,62,6,0,6,0,0,0,35,55,2019965.81,10820.42,10870.42,-50.0,0,16712,-1872,0,0,-375,-1436.16,-360,-1798.42
age16-130363,2072/73,63,6,0,6,0,0,0,17,52,2034111.77,14145.96,14195.96,-50.0,0,20152,-1872,0,0,-375,-1632,0,-2077.04
age16-130363,2073/74,64,8,0,8,0,0,0,21,50,2041762.15,7650.38,7600.38,50.0,0,14448,-1872,0,0,-1335,-2006.16,0,-1634.46
age16-130363,2074/75,65,8,0,8,0,0,0,20,48,2043524.79,1762.64,1812.64,-50.0,0,8168,-1872,0,0,-1335,-2001.48,0,-1146.88
age17-104729,2026/27,18,36,22,14,1,0,0,71,68,5067.65,-2932.35,-3390.35,458.0,523,2950,-2370,0,-8385,-340,-2257.2,0,6488.85
age17-104729,2027/28,19,32,24,8,2,0,0,77,71,10215.16,5147.51,4947.51,200.0,200,9292,-7855,0,0,-375,-2565,0,6250.51
age17-104729,2028/29,20,39,31,8,3,0,2,112,75,17970.2,7755.04,7555.04,200.0,560,8619,-5064,0,-84,-375,-2565,0,6464.04
age17-104729,2029/30,21,42,31,11,2,0,2,122,79,30397.17,12426.97,12226.97,200.0,1786,9581,-1872,0,-518,-375,-2565,0,6189.97
age17-104729,2030/31,22,32,19,13,0,0,3,125,80,46507.37,16110.2,15660.2,450.0,15500,9078,-1872,0,0,-1785,-4326,-720,-214.8
age17-104729,2031/32,23,41,32,9,2,0,12,134,82,136845.07,90337.7,90037.7,300.0,80700,20158,-1014,0,-122,-1785,-3806.88,-180,-3912.42
age17-104729,2032/33,24,46,39,7,2,0,16,139,84,245308.14,108463.07,108013.07,450.0,88530,27277,-1014,0,-84,-1785,-3556.08,0,-1354.85
age17-104729,2033/34,25,14,9,5,1,0,3,137,85,288854.13,43545.99,42145.99,1400.0,5900,41139,-1872,0,-38,-200,-3305,0,521.99
age17-104729,2034/35,26,22,12,10,0,0,17,139,86,375122.14,86268.01,84868.01,1400.0,40250,59941,-1872,0,-84,0,-6608,0,-6758.99
age17-104729,2035/36,27,42,32,10,1,0,20,141,88,498141.03,123018.89,122568.89,450.0,80260,55977,-1872,0,-122,-1685,-4006.8,0,-5982.31
age17-104729,2036/37,28,43,33,10,1,0,20,141,88,530884.23,32743.2,32543.2,200.0,15750,28600,-1872,0,-84,-1785,-3806.88,-180,-4078.92
age17-104729,2037/38,29,27,16,10,0,0,21,142,89,606923.98,76039.75,74639.75,1400.0,44100,44350,-1872,0,-38,0,-5549.04,-540,-5811.21
age17-104729,2038/39,30,25,13,10,0,0,23,139,90,730588.22,123664.24,122264.24,1400.0,76600,61694,-1872,0,-84,0,-6801.8,0,-7271.96
age17-104729,2039/40,31,32,19,10,0,0,25,144,90,852033.63,121445.41,120445.41,1000.0,70400,66429,-1872,0,-122,0,-5982.24,0,-8407.35
age17-104729,2040/41,32,32,20,10,1,0,25,135,91,1093259.39,241225.76,240225.76,1000.0,178250,71812,-1833,0,-84,0,-6400.24,0,-1519.0
age17-104729,2041/42,33,24,11,11,0,0,11,142,91,1194432.67,101173.28,99773.28,1400.0,85050,29910,-1755,0,-122,0,-7806.08,0,-5503.64
age17-104729,2042/43,34,33,21,10,0,0,19,139,92,1328435.47,134002.8,133002.8,1000.0,82250,70200,-1872,0,-122,0,-7368,-540,-9545.2
age17-104729,2043/44,35,30,18,12,0,0,29,142,92,1616142.41,287706.94,286706.94,1000.0,240000,65000,-1872,0,-84,0,-6627,0,-9710.06
age17-104729,2044/45,36,37,22,13,0,0,26,142,92,2078422.45,462280.04,461280.04,1000.0,368450,118638,-1872,0,-122,0,-9121,-180,-14512.96
age17-104729,2045/46,37,43,28,13,2,0,46,142,92,2987999.21,909576.76,909176.76,400.0,653700,238888,-1872,0,-206,0,-9701,-180,28547.76
age17-104729,2046/47,38,37,22,14,1,0,28,137,92,3885512.97,897513.76,896513.76,1000.0,666250,238888,-156,0,-122,0,-9701,0,1354.76
age17-104729,2047/48,39,36,20,15,0,0,22,141,92,4529446.58,643933.61,641933.61,2000.0,317350,371800,-1872,0,-122,0,-8620.48,-180,-36421.91
age17-104729,2048/49,40,40,24,15,1,0,28,142,92,5385205.48,855758.9,853758.9,2000.0,443550,410987,-1872,0,-206,0,-8787.68,-180,10267.58
age17-104729,2049/50,41,47,30,15,2,1,38,142,92,6382061.48,996856,995456,1400,629900,333788,-1872,0,-122,0,-9796,-360,43918
age17-104729,2050/51,42,31,17,11,0,0,24,135,91,6960838.33,578776.85,576776.85,2000.0,333550,281380,-1872,0,-206,0,-9311,-180,-26584.15
age17-104729,2051/52,43,30,14,14,0,0,12,132,90,7657271.45,696433.12,694433.12,2000.0,364950,377000,-1872,0,-84,0,-9701,-360,-35499.88
age17-104729,2052/53,44,28,14,13,0,0,14,142,90,8142347.88,485076.43,484276.43,800.0,145000,384250,-1872,0,-38,0,-9216,-360,-33487.57
age17-104729,2053/54,45,26,12,12,0,0,16,144,89,8304025.15,161677.27,160277.27,1400.0,93450,84540,-1872,0,-84,0,-6673.84,-180,-8902.89
age17-104729,2054/55,46,32,22,9,1,0,22,140,88,8629868.68,325843.53,324443.53,1400.0,264500,70256,-1872,0,-122,0,-7725.2,-180,-413.27
age17-104729,2055/56,47,34,20,11,0,0,23,138,87,9012482.6,382613.92,381613.92,1000.0,236450,174088,-1794,0,-122,0,-9121,0,-17887.08
age17-104729,2056/57,48,29,17,12,1,0,11,142,86,9369818.36,357335.76,356335.76,1000.0,188100,175500,-1794,0,-84,0,-9497,0,4110.76
age17-104729,2057/58,49,26,13,12,0,0,13,133,84,9656061.66,286243.3,284843.3,1400.0,144950,167850,-1872,0,-122,0,-9026,-180,-16756.7
age17-104729,2058/59,50,14,2,11,0,0,1,134,83,9757098.44,101036.78,101036.78,0.0,11500,106894,-1872,0,0,0,-5330.16,-180,-9975.06
age17-104729,2059/60,51,7,2,5,0,0,0,85,81,9827784.52,70686.08,70236.08,450.0,0,80912,-1872,0,0,-375,-1632,0,-6796.92
age17-104729,2060/61,52,7,2,5,0,0,0,67,79,9849577.52,21793.0,21643.0,150.0,0,27837,-1443,0,-84,-375,-1632,0,-2660.0
age17-104729,2061/62,53,8,2,6,0,0,1,102,78,9868206.12,18628.6,18678.6,-50.0,0,23400,-585,0,0,-375,-1436.16,0,-2325.24
age17-104729,2062/63,54,10,4,6,0,0,0,76,76,9884773.94,16567.82,16367.82,200.0,0,23894,-1872,0,-38,-1235,-1632,0,-2749.18
age17-104729,2063/64,55,6,0,6,0,0,1,105,74,9900237.21,15463.27,15263.27,200.0,0,21307,-1872,0,0,-375,-1632,0,-2164.73
age17-104729,2064/65,56,7,1,6,0,0,0,61,72,9917019.34,16782.13,16732.13,50.0,0,22976,-1872,0,0,-375,-1632,0,-2364.87
age17-104729,2065/66,57,7,1,6,0,0,0,39,70,9928181.54,11162.2,11212.2,-50.0,0,17125,-1872,0,0,-375,-1632,-180,-1853.8
age17-104729,2066/67,58,7,1,6,0,0,0,65,67,9942044.33,13862.79,13912.79,-50.0,0,19700,-1872,0,0,-375,-1499.88,0,-2040.33
age17-104729,2067/68,59,6,0,6,0,0,0,51,65,9959820.32,17775.99,17725.99,50.0,0,24694,-1872,0,0,-1235,-1436.16,0,-2424.85
age17-104729,2068/69,60,8,0,8,0,0,0,34,64,9976241.45,16421.13,16371.13,50.0,0,23982,-1872,0,-84,-1335,-1937.76,0,-2382.11
age17-104729,2069/70,61,6,0,6,0,0,0,29,61,9980645.17,4403.72,4353.72,50.0,0,9500,-1872,0,0,-375,-1632,0,-1267.28
age17-104729,2070/71,62,6,0,6,0,0,0,40,59,9994948.08,14302.91,14352.91,-50.0,0,19970,-1755,0,0,-375,-1436.16,0,-2050.93
age17-104729,2071/72,63,6,0,6,0,0,0,33,57,10010371.8,15423.72,15473.72,-50.0,0,21494,-1833,0,0,-375,-1436.16,-180,-2196.12
age17-104729,2072/73,64,4,0,4,0,0,0,33,55,10029711.56,19339.76,19389.76,-50.0,0,24349,-1872,0,0,-75,-1140,0,-1872.24
age17-104729,2073/74,65,8,0,8,0,0,0,33,52,10042702.84,12991.28,13041.28,-50.0,0,20475,-1872,0,0,-1335,-2138.28,0,-2088.44
age17-130363,2026/27,18,38,26,12,0,0,0,77,68,3533.85,-4466.15,-4980.15,514.0,351,2950,-2094,0,-9139,-425,-2496.6,0,5873.45
age17-130363,2027/28,19,37,27,10,3,0,0,82,71,8630.36,5096.51,4896.51,200.0,1393,7439,-8221,0,0,-375,-2565,0,7225.51
age17-130363,2028/29,20,35,22,13,1,0,2,120,75,3399.27,-5231.09,-5431.09,200.0,40,7958,-7836,0,0,-1780,-4108.2,0,295.11
age17-130363,2029/30,21,8,1,6,0,0,1,100,78,40174.59,36775.32,36775.32,0.0,4000,38736,-7112,0,-518,-100,-1738.0,0,3507.32
age17-130363,2030/31,22,13,5,8,1,0,0,90,80,105365.86,65191.27,64791.27,400.0,4500,64231,-1872,0,0,-100,-4979.04,-360,3371.31
age17-130363,2031/32,23,29,20,9,1,0,9,131,82,145853.5,40487.64,40187.64,300.0,3100,48897,-1872,0,-84,-1685,-3556.08,-180,-4432.28
age17-130363,2032/33,24,28,19,9,0,0,12,138,84,162694.3,16840.8,16640.8,200.0,2320,28600,-1872,0,0,-1785,-3556.08,-180,-6886.12
age17-130363,2033/34,25,18,7,10,0,0,10,139,85,221455.18,58760.88,57360.88,1400.0,29750,36896,-1872,0,-122,0,-3400,0,-3891.12
age17-130363,2034/35,26,23,12,9,0,0,10,138,86,292386.63,70931.45,69931.45,1000.0,31750,52515,-1872,0,0,0,-6228,0,-6233.55
age17-130363,2035/36,27,38,30,8,2,0,20,140,87,419621.5,127234.87,127284.87,-50.0,81240,51568,-1833,0,-122,-1685,-3556.08,-180,1852.95
age17-130363,2036/37,28,45,38,7,3,0,25,138,88,542417.01,122795.51,122745.51,50.0,91810,32324,-1326,0,-84,-825,-3470.64,-360,4677.15
age17-130363,2037/38,29,21,9,11,0,0,11,137,89,602452.98,60035.97,59035.97,1000.0,22000,48003,-585,0,-122,0,-5278,0,-4982.03
age17-130363,2038/39,30,29,15,9,1,0,19,136,90,720345.06,117892.08,116892.08,1000.0,65300,62162,-1872,0,0,0,-6608,0,-2089.92
age17-130363,2039/40,31,31,21,10,0,0,11,133,90,769463.77,49118.71,48818.71,300.0,13450,55237,-1872,0,-122,-1685,-3841.44,0,-12347.85
age17-130363,2040/41,32,32,19,12,0,0,19,142,91,869414.84,99951.07,98951.07,1000.0,81350,31837,-1872,0,-84,0,-5815.04,-180,-6284.89
age17-130363,2041/42,33,23,12,11,0,0,12,138,91,956268.08,86853.24,84853.24,2000.0,35200,65674,-1872,0,-84,0,-5898.64,-360,-7806.12
age17-130363,2042/43,34,16,6,8,0,0,4,113,92,1029961.11,73693.03,71693.03,2000.0,19000,67847,-1872,0,-38,0,-5962,0,-7281.97
age17-130363,2043/44,35,12,6,6,0,0,6,141,92,1079537.72,49576.61,49376.61,200.0,0,59403,-1872,0,0,-1235,-1499.88,0,-5419.51
age17-130363,2044/45,36,24,22,2,1,0,12,138,92,1113354.01,33816.29,33366.29,450.0,12360,26469,-1872,0,-84,-1235,-1568.28,0,-703.43
age17-130363,2045/46,37,28,16,10,0,0,13,141,92,1169144.16,55790.15,54790.15,1000.0,42600,24826,-1872,0,-122,0,-6228,0,-4413.85
age17-130363,2046/47,38,31,17,12,0,0,13,141,92,1263744.04,94599.88,92599.88,2000.0,56000,52900,-1872,0,0,0,-6418,-180,-7830.12
age17-130363,2047/48,39,20,16,4,0,0,8,138,92,1299235.07,35491.03,35191.03,300.0,1250,43408,-1872,0,-122,-1235,-1499.88,0,-4738.09
age17-130363,2048/49,40,37,24,11,0,0,23,142,92,1464946.38,165711.31,165711.31,0.0,145750,34099,-1872,0,-84,0,-6400.24,0,-5781.45
age17-130363,2049/50,41,25,12,10,0,0,7,138,92,1561383.46,96437.08,94437.08,2000.0,47250,64012,-1872,0,-38,0,-7463,-180,-7271.92
age17-130363,2050/51,42,18,8,9,0,0,6,132,91,1637540.52,76157.06,75157.06,1000.0,23000,67236,-1755,0,-84,0,-5954.4,0,-7285.54
age17-130363,2051/52,43,15,13,2,0,0,6,128,90,1675511.97,37971.45,37921.45,50.0,1440,44128,-546,0,0,-1235,-1283.28,0,-4582.27
age17-130363,2052/53,44,23,11,11,0,0,22,142,90,1751683.2,76171.23,76171.23,0.0,37100,53507,-1443,0,-122,0,-6159.6,-180,-6531.17
age17-130363,2053/54,45,21,9,10,0,0,10,133,88,1828475.93,76792.73,75792.73,1000.0,23750,66745,-1872,0,-84,0,-5549.04,0,-7197.23
age17-130363,2054/55,46,18,15,3,1,0,6,138,87,1865830.64,37354.71,37054.71,300.0,2790,39571,-1872,0,0,-375,-1499.88,-180,-1379.41
age17-130363,2055/56,47,9,5,4,0,0,5,138,86,1883670.02,17839.38,17689.38,150.0,0,24221,-1872,0,-38,-375,-1436.16,-360,-2450.46
age17-130363,2056/57,48,11,7,4,0,0,2,139,84,1899416.26,15746.24,15796.24,-50.0,0,23088,-1872,0,0,-1235,-1632,0,-2552.76
age17-130363,2057/58,49,15,8,7,0,0,3,131,83,1915765.33,16349.07,16299.07,50.0,1250,23172,-1872,0,-84,-1335,-2001.48,-180,-2650.45
age17-130363,2058/59,50,10,5,5,0,0,4,133,81,1934309.19,18543.86,18243.86,300.0,0,24524,-1872,0,0,-375,-1568.28,0,-2464.86
age17-130363,2059/60,51,9,5,4,0,0,2,112,79,1942802.47,8493.28,8543.28,-50.0,0,14166,-1872,0,0,-375,-1632,0,-1743.72
age17-130363,2060/61,52,7,1,6,0,0,0,83,78,1956156.12,13353.65,13203.65,150.0,0,19088,-1872,0,0,-375,-1632,0,-2005.35
