case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age18-start-elite-amateur-130363-30y,33,2041-06-30,91,99,2783152.32,True,89.89,94.66,96.12,92.34,85.98,94.01,95.61,91.2,92.3,79.07,79.58,77.29,82.54,80.99,76.86
age18-start-elite-amateur-130363-30y,34,2042-06-30,92,99,3253216.06,True,90.46,94.98,96.4,92.91,86.65,94.43,95.94,91.76,92.68,79.83,80.29,77.64,82.77,81.36,77.3
age18-start-elite-amateur-130363-30y,35,2043-06-30,92,94,4488534.1,True,90.95,95.25,96.65,93.46,87.26,94.81,96.23,92.25,93.03,80.57,81.07,78.05,83.03,81.7,77.81
age18-start-elite-amateur-130363-30y,36,2044-06-30,92,94,5035195.14,True,90.95,95.25,96.65,93.46,87.26,94.81,96.23,92.25,93.03,80.57,81.07,78.05,83.03,81.7,77.81
age18-start-elite-amateur-130363-30y,37,2045-06-30,92,94,6133020.64,True,90.95,95.25,96.65,93.46,87.26,94.81,96.23,92.25,93.03,80.57,81.07,78.05,83.03,81.7,77.81
age18-start-elite-amateur-130363-30y,38,2046-06-30,92,94,7023146.54,True,90.95,95.25,96.65,93.46,87.26,94.81,96.23,92.25,93.03,80.57,81.07,78.05,83.03,81.7,77.81
age18-start-elite-amateur-130363-30y,39,2047-06-30,92,94,7789972.7,True,90.95,95.25,96.65,93.46,87.26,94.81,96.23,92.25,93.03,80.57,81.07,78.05,83.03,81.7,77.81
age18-start-elite-amateur-130363-30y,40,2048-06-30,92,92,8364115.34,True,90.95,95.25,96.65,93.46,87.26,94.81,96.23,92.25,93.03,80.57,81.07,78.05,83.03,81.7,77.81
age18-start-elite-amateur-130363-30y,41,2049-06-30,92,92,8881300.18,True,90.2,94.42,95.8,93.03,86.88,94.81,96.23,92.25,93.03,80.57,79.58,77.15,81.47,80.72,76.44
age18-start-elite-amateur-130363-30y,42,2050-06-30,91,91,9332185.48,True,89.28,93.41,94.76,92.49,86.41,94.81,96.23,92.25,93.03,80.57,77.79,76.06,79.59,79.52,74.79
age18-start-elite-amateur-130363-30y,43,2051-06-30,90,90,9759265.76,True,88.19,92.22,93.53,91.84,85.85,94.81,96.23,92.25,93.03,80.57,75.71,74.77,77.42,78.11,72.87
age18-start-elite-amateur-130363-30y,44,2052-06-30,89,89,10030922.32,True,86.91,90.83,92.1,91.09,85.19,94.81,96.23,92.25,93.03,80.57,73.37,73.28,74.97,76.49,70.7
age18-start-elite-amateur-130363-30y,45,2053-06-30,88,88,10263589.54,True,85.46,89.24,90.47,90.21,84.42,94.81,96.23,92.25,93.03,80.57,70.78,71.6,72.26,74.66,68.29
age18-start-elite-amateur-130363-30y,46,2054-06-30,87,87,10453197.42,True,83.82,87.45,88.63,89.2,83.54,94.81,96.23,92.25,93.03,80.57,67.96,69.73,69.33,72.62,65.67
age18-start-elite-amateur-130363-30y,47,2055-06-30,86,86,10579091.47,True,82.0,85.47,86.6,88.07,82.55,94.73,96.16,92.22,93.03,80.54,64.98,67.69,66.23,70.41,62.89
age18-start-elite-amateur-130363-30y,48,2056-06-30,85,85,10723211.89,True,80.02,83.31,84.38,86.81,81.44,94.56,95.97,92.16,93.03,80.49,61.86,65.49,62.99,68.03,59.96
age21-start-q-tour-104729-30y,21,2026-05-11,72,90,8000,False,65,76,75,58,64,70,74,67,77,64,61,69,77,72,66
age21-start-q-tour-104729-30y,22,2027-06-30,77,91,26546.49,False,71.27,82.54,82.6,66.43,69.03,77.6,81.9,73.74,82.07,68.05,64.5,70.75,78.31,74.09,68.19
age21-start-q-tour-104729-30y,23,2028-06-30,80,94,44893.25,False,75.52,85.71,86.42,71.06,72.51,81.7,85.69,77.45,84.67,70.19,67.34,72.17,79.38,75.53,69.96
age21-start-q-tour-104729-30y,24,2029-06-30,82,96,70849.71,True,77.7,87.25,88.14,73.87,74.31,83.78,87.44,79.56,85.9,71.47,68.61,72.81,79.85,76.27,70.76
age21-start-q-tour-104729-30y,25,2030-06-30,83,97,152250.13,True,79.64,88.5,89.61,76.83,75.98,85.57,88.88,81.53,87.01,72.7,69.95,73.47,80.35,76.94,71.59
age21-start-q-tour-104729-30y,26,2031-06-30,85,99,313142.31,True,81.46,89.57,90.82,79.56,77.61,87.27,90.27,83.49,88.11,74.03,71.1,74.05,80.77,77.58,72.31
age21-start-q-tour-104729-30y,27,2032-06-30,86,99,483299.88,True,82.91,90.42,91.78,81.91,79.01,88.43,91.21,84.79,88.88,75.04,72.4,74.7,81.23,78.14,73.12
age21-start-q-tour-104729-30y,28,2033-06-30,88,99,1128795.72,True,84.43,91.32,92.67,84.05,80.51,89.59,92.12,86.14,89.69,76.18,73.47,75.24,81.61,78.76,73.79
age21-start-q-tour-104729-30y,29,2034-06-30,88,99,1709912.24,True,85.58,92.06,93.46,86.05,81.81,90.66,92.95,87.39,90.46,77.29,74.48,75.74,81.96,79.29,74.43
age21-start-q-tour-104729-30y,30,2035-06-30,89,99,2832006.86,True,86.58,92.63,94.05,87.44,82.94,91.57,93.68,88.5,91.15,78.35,75.46,76.23,82.28,79.78,75.03
age21-start-q-tour-104729-30y,31,2036-06-30,90,99,3751207.7,True,87.54,93.17,94.6,88.7,84.01,92.3,94.26,89.39,91.71,79.32,76.53,76.76,82.63,80.29,75.7
age21-start-q-tour-104729-30y,32,2037-06-30,90,99,4811515.28,True,88.3,93.6,94.99,89.53,84.79,92.8,94.65,89.99,92.1,80.03,77.29,77.14,82.88,80.7,76.18
age21-start-q-tour-104729-30y,33,2038-06-30,91,99,5753486.8,True,88.89,93.94,95.33,90.36,85.46,93.28,95.02,90.58,92.48,80.75,77.97,77.48,83.1,81.04,76.6
age21-start-q-tour-104729-30y,34,2039-06-30,91,99,6669550.13,True,89.53,94.29,95.67,91.09,86.18,93.76,95.4,91.19,92.88,81.47,78.78,77.89,83.35,81.42,77.11
age21-start-q-tour-104729-30y,35,2040-06-30,92,94,7480067.25,True,90.2,94.65,96.0,91.76,86.91,94.19,95.74,91.73,93.26,82.11,79.65,78.33,83.62,81.82,77.66
age21-start-q-tour-104729-30y,36,2041-06-30,92,94,8706469.52,True,90.2,94.65,96.0,91.76,86.91,94.19,95.74,91.73,93.26,82.11,79.65,78.33,83.62,81.82,77.66
age21-start-q-tour-104729-30y,37,2042-06-30,92,94,9613057.58,True,90.2,94.65,96.0,91.76,86.91,94.19,95.74,91.73,93.26,82.11,79.65,78.33,83.62,81.82,77.66
age21-start-q-tour-104729-30y,38,2043-06-30,92,94,10281789.34,True,90.2,94.65,96.0,91.76,86.91,94.19,95.74,91.73,93.26,82.11,79.65,78.33,83.62,81.82,77.66
age21-start-q-tour-104729-30y,39,2044-06-30,92,94,10736356.99,True,90.2,94.65,96.0,91.76,86.91,94.19,95.74,91.73,93.26,82.11,79.65,78.33,83.62,81.82,77.66
age21-start-q-tour-104729-30y,40,2045-06-30,92,92,11134028.07,True,90.2,94.65,96.0,91.76,86.91,94.19,95.74,91.73,93.26,82.11,79.65,78.33,83.62,81.82,77.66
age21-start-q-tour-104729-30y,41,2046-06-30,91,91,11825545.15,True,89.54,93.92,95.25,91.39,86.58,94.19,95.74,91.73,93.26,82.11,78.37,77.52,82.21,80.94,76.44
age21-start-q-tour-104729-30y,42,2047-06-30,91,91,12457466.07,True,88.74,93.04,94.34,90.93,86.16,94.19,95.74,91.73,93.26,82.11,76.83,76.54,80.52,79.88,74.98
age21-start-q-tour-104729-30y,43,2048-06-30,90,90,13241576.15,True,87.78,91.99,93.26,90.38,85.67,94.19,95.74,91.73,93.26,82.11,75.04,75.39,78.55,78.62,73.27
age21-start-q-tour-104729-30y,44,2049-06-30,89,89,14122740.41,True,86.67,90.77,92.01,89.73,85.09,94.19,95.74,91.73,93.26,82.11,73.01,74.06,76.33,77.17,71.34
age21-start-q-tour-104729-30y,45,2050-06-30,88,88,15031569.65,True,85.4,89.38,90.58,88.98,84.41,94.19,95.74,91.73,93.26,82.11,70.77,72.55,73.87,75.54,69.19
age21-start-q-tour-104729-30y,46,2051-06-30,88,88,15657923.4,True,83.97,87.81,88.97,88.13,83.64,94.19,95.74,91.73,93.26,82.11,68.31,70.88,71.2,73.72,66.84
age21-start-q-tour-104729-30y,47,2052-06-30,86,86,16171131.67,True,82.39,86.09,87.2,87.17,82.78,94.12,95.68,91.7,93.26,82.09,65.7,69.05,68.36,71.74,64.34
age21-start-q-tour-104729-30y,48,2053-06-30,85,85,16471070.91,True,80.66,84.2,85.26,86.11,81.82,93.97,95.52,91.64,93.26,82.04,62.95,67.07,65.38,69.61,61.71
age21-start-q-tour-104729-30y,49,2054-06-30,84,84,16682819.85,True,78.79,82.15,83.17,84.93,80.76,93.71,95.26,91.55,93.26,81.97,60.09,64.97,62.3,67.34,58.96
age21-start-q-tour-104729-30y,50,2055-06-30,82,82,16799764.83,False,76.77,79.96,80.91,83.64,79.59,93.33,94.86,91.4,93.26,81.85,57.15,62.73,59.14,64.94,56.13
age21-start-q-tour-104729-30y,51,2056-06-30,81,81,16857771.57,False,74.61,77.61,78.51,82.23,78.32,92.8,94.31,91.2,93.26,81.69,54.16,60.39,55.93,62.43,53.24
age21-start-q-tour-130363-30y,21,2026-05-11,72,90,8000,False,65,76,75,58,64,70,74,67,77,64,61,69,77,72,66
age21-start-q-tour-130363-30y,22,2027-06-30,78,92,26739.01,False,71.36,82.78,83.07,67.53,69.19,78.11,82.21,74.12,82.35,68.32,64.61,70.81,78.35,74.14,68.26
age21-start-q-tour-130363-30y,23,2028-06-30,80,94,49017.23,False,74.92,85.49,86.48,72.14,72.27,82.12,85.81,77.77,84.87,70.4,67.04,72.02,79.26,75.36,69.77
age21-start-q-tour-130363-30y,24,2029-06-30,82,96,77062.46,True,77.2,87.09,88.29,75.21,74.17,84.35,87.69,80.12,86.2,71.81,68.41,72.7,79.78,76.14,70.63
age21-start-q-tour-130363-30y,25,2030-06-30,84,98,150762.83,True,79.01,88.31,89.74,78.39,75.78,86.16,89.13,82.12,87.33,73.1,69.68,73.34,80.25,76.77,71.42
age21-start-q-tour-130363-30y,26,2031-06-30,85,99,261886.27,False,80.78,89.35,90.84,80.76,77.31,87.65,90.38,83.86,88.3,74.33,70.76,73.88,80.65,77.38,72.1
age21-start-q-tour-130363-30y,27,2032-06-30,86,99,347701.25,True,82.43,90.23,91.73,82.59,78.73,88.69,91.27,85.06,89.03,75.24,72.03,74.51,81.1,77.97,72.89
age21-start-q-tour-130363-30y,28,2033-06-30,87,99,418331.67,True,83.99,91.13,92.61,84.5,80.22,89.76,92.15,86.32,89.78,76.31,73.1,75.05,81.48,78.59,73.56
age21-start-q-tour-130363-30y,29,2034-06-30,88,99,509704.97,False,85.22,91.87,93.36,86.27,81.54,90.78,92.97,87.53,90.51,77.42,74.1,75.55,81.83,79.14,74.19
age21-start-q-tour-130363-30y,30,2035-06-30,89,99,580841.1,True,86.43,92.53,94.02,87.7,82.79,91.66,93.68,88.59,91.12,78.49,75.18,76.09,82.19,79.72,74.86
age21-start-q-tour-130363-30y,31,2036-06-30,90,99,665315.36,True,87.53,93.16,94.61,88.9,83.94,92.35,94.26,89.42,91.65,79.43,76.31,76.65,82.56,80.29,75.57
age21-start-q-tour-130363-30y,32,2037-06-30,90,99,805946.5,True,88.35,93.64,95.05,89.93,84.8,92.92,94.7,90.11,92.09,80.26,77.14,77.07,82.83,80.73,76.09
age21-start-q-tour-130363-30y,33,2038-06-30,91,99,944834.88,True,89.06,94.05,95.46,90.91,85.59,93.48,95.12,90.79,92.53,81.1,77.93,77.46,83.08,81.14,76.58
age21-start-q-tour-130363-30y,34,2039-06-30,92,99,1193889.35,True,89.7,94.39,95.79,91.59,86.31,93.95,95.5,91.39,92.92,81.81,78.77,77.88,83.35,81.52,77.1
age21-start-q-tour-130363-30y,35,2040-06-30,92,94,1410519.91,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,36,2041-06-30,92,94,1597447.87,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,37,2042-06-30,92,94,1880780.8,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,38,2043-06-30,92,94,2042411.45,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,39,2044-06-30,92,94,2236296.93,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,40,2045-06-30,92,92,2367296.24,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,41,2046-06-30,92,92,2498533.56,True,89.65,93.94,95.27,91.81,86.68,94.36,95.84,91.91,93.28,82.47,78.18,77.4,82.02,80.95,76.27
age30-start-rookie-pro-104729-30y,30,2026-05-11,72,82,8000,True,65,76,75,58,64,71,75,68,80,66,59,66,74,69,63
age30-start-rookie-pro-104729-30y,31,2027-06-30,77,88,69542.98,True,71.12,82.43,82.68,66.79,69.02,78.42,82.49,74.52,84.58,69.97,62.26,67.63,75.22,71.06,65.04
age30-start-rookie-pro-104729-30y,32,2028-06-30,80,91,152972.42,False,75.03,85.57,86.56,72.3,72.36,82.74,86.23,78.46,86.96,72.32,65.11,69.06,76.29,72.39,66.82
age30-start-rookie-pro-104729-30y,33,2029-06-30,82,94,200534.33,True,77.62,87.45,88.49,75.5,74.36,84.85,88.02,80.72,88.04,73.77,66.55,69.78,76.83,73.25,67.72
age30-start-rookie-pro-104729-30y,34,2030-06-30,84,96,261623.36,True,79.72,88.83,90.1,79.08,76.18,86.75,89.54,82.81,89.1,75.18,67.97,70.49,77.36,73.97,68.61
age30-start-rookie-pro-104729-30y,35,2031-06-30,85,89,478582.31,True,81.4,89.79,91.13,81.38,77.67,88.14,90.71,84.43,89.92,76.36,69.01,71.01,77.75,74.56,69.26
age30-start-rookie-pro-104729-30y,36,2032-06-30,86,90,709015.65,True,82.75,90.54,91.94,83.12,78.93,89.1,91.52,85.54,90.5,77.25,70.16,71.58,78.19,75.07,69.98
age30-start-rookie-pro-104729-30y,37,2033-06-30,87,91,1728623.65,True,84.06,91.28,92.61,84.45,80.16,89.92,92.23,86.53,91.04,78.1,71.02,72.01,78.51,75.59,70.51
age30-start-rookie-pro-104729-30y,38,2034-06-30,87,91,2368652.98,True,85.0,91.85,93.21,85.87,81.21,90.75,92.9,87.52,91.57,79.0,71.82,72.41,78.81,76.01,71.01
age30-start-rookie-pro-104729-30y,39,2035-06-30,88,92,3302932.44,True,86.03,92.44,93.81,87.22,82.34,91.6,93.59,88.56,92.14,80.01,72.72,72.86,79.14,76.5,71.57
age30-start-rookie-pro-104729-30y,40,2036-06-30,89,89,3796640.93,True,86.27,92.56,93.89,87.27,82.54,91.66,93.66,88.63,92.19,80.08,72.92,72.96,79.22,76.6,71.7
age30-start-rookie-pro-104729-30y,41,2037-06-30,88,88,4304341.91,True,85.6,91.79,93.1,86.9,82.2,91.66,93.66,88.63,92.19,80.08,71.73,72.18,77.82,75.75,70.55
age30-start-rookie-pro-104729-30y,42,2038-06-30,87,88,4641687.83,True,84.79,90.86,92.14,86.44,81.79,91.66,93.66,88.63,92.19,80.08,70.3,71.24,76.13,74.71,69.16
age30-start-rookie-pro-104729-30y,43,2039-06-30,87,88,5105260.95,True,83.82,89.75,91.0,85.88,81.3,91.66,93.66,88.63,92.19,80.08,68.63,70.13,74.18,73.49,67.55
age30-start-rookie-pro-104729-30y,44,2040-06-30,86,88,5361476.31,True,82.69,88.46,89.67,85.23,80.71,91.66,93.66,88.63,92.19,80.08,66.75,68.85,71.98,72.09,65.73
age30-start-rookie-pro-104729-30y,45,2041-06-30,85,85,5687571.55,True,81.41,86.99,88.16,84.48,80.04,91.66,93.66,88.63,92.19,80.08,64.66,67.41,69.55,70.5,63.7
age30-start-rookie-pro-104729-30y,46,2042-06-30,84,84,5994224.47,True,79.96,85.33,86.46,83.63,79.27,91.66,93.66,88.63,92.19,80.08,62.37,65.79,66.91,68.74,61.48
age30-start-rookie-pro-104729-30y,47,2043-06-30,83,83,6229096.71,True,78.36,83.52,84.6,82.66,78.41,91.59,93.58,88.6,92.19,80.06,59.94,64.04,64.11,66.82,59.12
age30-start-rookie-pro-104729-30y,48,2044-06-30,82,82,6425598.63,True,76.62,81.53,82.56,81.6,77.45,91.43,93.42,88.55,92.19,80.01,57.39,62.14,61.19,64.76,56.64
age30-start-rookie-pro-104729-30y,49,2045-06-30,80,81,6556958.15,True,74.73,79.39,80.36,80.42,76.38,91.16,93.14,88.44,92.19,79.93,54.74,60.12,58.17,62.56,54.05
age30-start-rookie-pro-104729-30y,50,2046-06-30,79,79,6663831.65,False,72.69,77.09,78.01,79.12,75.21,90.75,92.72,88.29,92.19,79.8,52.01,57.98,55.09,60.24,51.39
age30-start-rookie-pro-104729-30y,51,2047-06-30,77,77,6714107.31,False,70.52,74.65,75.51,77.7,73.93,90.19,92.13,88.08,92.19,79.63,49.22,55.73,51.97,57.82,48.67
age30-start-rookie-pro-104729-30y,52,2048-06-30,76,76,6751537.54,False,68.21,72.06,72.86,76.16,72.54,89.43,91.34,87.79,92.19,79.39,46.41,53.39,48.83,55.3,45.93
age30-start-rookie-pro-104729-30y,53,2049-06-30,74,74,6779728.6,False,65.78,69.35,70.09,74.49,71.03,88.46,90.32,87.41,92.19,79.09,43.6,50.97,45.72,52.7,43.17
age30-start-rookie-pro-104729-30y,54,2050-06-30,72,72,6811713.0,False,63.23,66.52,67.2,72.7,69.39,87.23,89.04,86.93,92.19,78.69,40.8,48.48,42.64,50.04,40.43
age30-start-rookie-pro-104729-30y,55,2051-06-30,70,70,6844822.83,False,60.61,63.6,64.23,70.79,67.66,85.72,87.47,86.34,92.19,78.21,38.09,45.97,39.65,47.36,37.75
age30-start-rookie-pro-104729-30y,56,2052-06-30,68,68,6877681.13,False,57.86,60.58,61.15,68.73,65.78,83.89,85.57,85.59,92.19,77.6,35.38,43.41,36.71,44.63,35.08
age30-start-rookie-pro-104729-30y,57,2053-06-30,67,67,6910556.97,False,55.44,57.92,58.56,67.23,64.13,82.33,83.89,85.1,92.34,77.21,32.99,40.95,33.95,42.03,32.64
age30-start-rookie-pro-104729-30y,58,2054-06-30,64,64,6938918.25,False,52.92,55.14,55.81,65.49,62.34,80.67,82.12,84.57,92.49,76.77,30.63,38.46,31.28,39.41,30.24
age30-start-rookie-pro-104729-30y,59,2055-06-30,63,63,6972135.57,False,50.3,52.26,52.94,63.5,60.37,78.77,80.14,83.88,92.63,76.19,28.33,35.96,28.69,36.79,27.9
age30-start-rookie-pro-104729-30y,60,2056-06-30,60,60,7010102.77,False,47.54,49.28,49.97,61.36,58.22,76.71,78.0,83.09,92.77,75.52,26.05,33.44,26.19,34.16,25.61
age30-start-rookie-pro-130363-30y,30,2026-05-11,72,82,8000,True,65,76,75,58,64,71,75,68,80,66,59,66,74,69,63
age30-start-rookie-pro-130363-30y,31,2027-06-30,77,88,69359.43,True,71.14,82.4,82.66,66.77,69.04,78.51,82.6,74.61,84.63,70.03,62.21,67.61,75.21,71.06,65.01
age30-start-rookie-pro-130363-30y,32,2028-06-30,80,91,171867.85,False,74.99,85.55,86.58,72.47,72.36,82.89,86.33,78.62,87.05,72.42,64.97,68.99,76.24,72.37,66.73
age30-start-rookie-pro-130363-30y,33,2029-06-30,82,94,231022.1,False,77.42,87.32,88.46,75.71,74.29,85.02,88.12,80.92,88.14,73.87,66.38,69.69,76.77,73.19,67.61
age30-start-rookie-pro-130363-30y,34,2030-06-30,84,96,270322.67,True,79.62,88.72,90.04,79.0,76.15,86.86,89.65,82.97,89.13,75.27,67.84,70.42,77.32,73.94,68.53
age30-start-rookie-pro-130363-30y,35,2031-06-30,85,89,356362.92,True,81.3,89.67,91.06,81.25,77.62,88.24,90.82,84.58,89.95,76.45,68.87,70.94,77.7,74.53,69.17
