case,season,startAge,endAge,matches,wins,losses,draws,titles,centuries,highestBreak,prize,endCash,endOverall,cardNextSeason,rankingLabel,rank,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age12-start-club-junior-155921-50y,2050/51,36,37,41,23,16,2,0,31,141,137700,4107855.0,90,True,World Ranking,28,137700,104312,-1872,0,-122,0,-7316.32,-180,-8025.16
age12-start-club-junior-155921-50y,2051/52,37,38,33,21,10,2,0,23,142,140100,4388522.48,89,True,World Ranking,28,140100,160706,-1872,0,-122,0,-8140.48,-360,-11644.04
age12-start-club-junior-155921-50y,2052/53,38,39,30,15,13,2,0,14,142,92000,4611795.04,88,True,World Ranking,40,92000,152781,-1872,0,-84,0,-9121,-360,-12071.44
age12-start-club-junior-155921-50y,2053/54,39,40,33,22,10,1,0,19,139,182800,4886688.24,88,True,World Ranking,34,182800,108676,-1755,0,-122,0,-7938,-540,-7627.8
age12-start-club-junior-155921-50y,2054/55,40,41,31,20,11,0,0,26,141,154700,5158874.42,87,True,World Ranking,25,154700,134576,-546,0,-84,0,-8694,-540,-8625.82
age12-start-club-junior-155921-50y,2055/56,41,42,30,19,10,1,0,17,136,125000,5426472.58,86,True,World Ranking,29,125000,161876,-1443,0,-38,0,-8836,-180,-10780.84
age12-start-club-junior-155921-50y,2056/57,42,43,33,21,11,1,0,20,139,140950,5713867.68,85,True,World Ranking,31,140950,167807,-1872,0,-122,0,-9121,-180,-12066.9
age12-start-club-junior-155921-50y,2057/58,43,44,37,24,12,1,0,21,142,233450,6098481.68,83,True,World Ranking,21,233450,175344,-1872,0,-168,0,-9216,-540,-13184
age12-start-club-junior-155921-50y,2058/59,44,45,30,15,13,2,0,12,136,162850,6422654.87,82,True,World Ranking,21,162850,184919,-1872,0,-38,0,-8931,-540,-13614.81
age12-start-club-junior-155921-50y,2059/60,45,46,27,15,11,1,0,1,135,80100,6634700.51,80,True,World Ranking,39,80100,151988,-1872,0,-84,0,-7653,-360,-10073.36
age12-start-club-junior-155921-50y,2060/61,46,47,20,8,11,1,0,1,115,40850,6785896.47,79,True,World Ranking,64,40850,127187,-1872,0,-122,0,-6893,-720,-7634.04
age12-start-club-junior-155921-50y,2061/62,47,48,20,9,11,0,0,3,122,27250,6879777.57,77,False,World Ranking,85,27250,78551,-1872,0,0,0,-6456,-180,-3411.9
age12-start-club-junior-155921-50y,2062/63,48,49,15,9,6,0,0,0,96,0,6919495.91,75,False,Q School Ranking,53,0,45116,-1872,0,0,-1335,-2138.28,0,-102.38
age12-start-club-junior-155921-50y,2063/64,49,50,9,4,5,0,0,0,67,0,6937772.94,73,False,Senior Ranking,72,0,19831,-1872,0,-84,-375,-1632,-180,2389.03
age12-start-club-junior-155921-50y,2064/65,50,51,7,2,5,0,0,0,68,0,6955521.52,72,False,Senior Ranking,71,0,18997,-1872,0,0,-375,-1632,0,2430.58
age12-start-club-junior-155921-50y,2065/66,51,52,6,1,5,0,0,0,42,0,6974850.03,70,False,Senior Ranking,65,0,20900,-1872,0,0,-375,-1632,-180,2287.51
age12-start-club-junior-155921-50y,2066/67,52,53,6,1,5,0,0,0,70,0,6992374.23,68,False,Senior Ranking,72,0,19073,-1872,0,-38,-375,-1632,0,2418.2
age12-start-club-junior-155921-50y,2067/68,53,54,9,2,7,0,0,0,49,0,7006106.75,66,False,Q School Ranking,159,0,16306,-1833,0,0,-1335,-2001.48,0,2546.0
age12-start-club-junior-155921-50y,2068/69,54,55,10,3,7,0,0,0,58,0,7014372.28,64,False,Q School Ranking,126,0,10172,-1326,0,0,-1335,-2035.68,-180,3020.21
age12-start-club-junior-155921-50y,2069/70,55,56,8,3,5,0,0,0,40,0,7034621.07,62,False,Senior Ranking,70,0,20214,-585,0,0,-375,-1436.16,0,2380.95
age12-start-club-junior-155921-50y,2070/71,56,57,6,1,5,0,0,0,56,0,7052306.11,60,False,Senior Ranking,69,0,18890,-1872,0,0,-375,-1436.16,0,2428.2
age12-start-club-junior-155921-50y,2071/72,57,58,6,1,5,0,0,0,47,0,7067681.42,58,False,Senior Ranking,72,0,16977,-1872,0,-84,-375,-1436.16,-360,2575.47
age12-start-club-junior-155921-50y,2072/73,58,59,6,1,5,0,0,0,30,0,7078541.82,56,False,Senior Ranking,68,0,11644,-1872,0,0,-375,-1568.28,0,2981.68
age12-start-club-junior-155921-50y,2073/74,59,60,8,0,8,0,0,0,34,0,7085116.82,54,False,Q School Ranking,217,0,8620,-1872,0,0,-1335,-2001.48,0,3213.48
age12-start-club-junior-155921-50y,2074/75,60,61,8,0,8,0,0,0,37,0,7091349.21,51,False,Q School Ranking,208,0,8273,-1872,0,0,-1335,-2138.28,0,3254.67
age12-start-club-junior-155921-50y,2075/76,61,62,6,1,5,0,0,0,27,0,7099702.14,49,False,Senior Ranking,72,0,8998,-1872,0,0,-375,-1632,0,3283.93
age15-start-national-youth-104729-30y,2026/27,15,16,32,16,16,0,1,0,62,1280,4196.45,66,False,Youth Ranking,13,1280,2950,-1500,0,-8481,-330,-2257.2,0,4084.65
age15-start-national-youth-104729-30y,2027/28,16,17,23,1,22,0,0,0,74,0,5910.7,69,False,Youth Ranking,139,0,3020,-2537,0,0,-300,-2565,0,3796.25
age15-start-national-youth-104729-30y,2028/29,17,18,24,1,23,0,0,0,81,0,8666.78,73,False,Youth Ranking,139,0,2933,-1388,0,0,-300,-2565,0,3876.08
age15-start-national-youth-104729-30y,2029/30,18,19,24,5,19,0,0,0,84,0,9479.0,76,False,Youth Ranking,105,0,8197,-7552,0,-84,-375,-2565,-180,3071.22
age15-start-national-youth-104729-30y,2030/31,19,20,24,4,20,0,0,0,89,0,13698.97,80,False,Youth Ranking,137,0,8378,-4560,0,0,-375,-2565,-180,3471.97
age15-start-national-youth-104729-30y,2031/32,20,21,32,15,17,0,1,5,129,143,21516.07,81,False,Youth Ranking,33,143,8125,-1872,0,-38,-325,-2257.2,0,3741.3
age15-start-national-youth-104729-30y,2032/33,21,22,21,12,9,0,0,8,141,1250,27407.34,83,False,Q School Ranking,107,1250,8782,-1872,0,-564,-1460,-2772,0,2577.27
age15-start-national-youth-104729-30y,2033/34,22,23,38,29,9,0,0,20,140,7220,39726.22,85,True,Q School Ranking,64,7220,15606,-1872,0,-122,-1785,-3793.68,-180,-3204.44
age15-start-national-youth-104729-30y,2034/35,23,24,34,22,11,1,0,30,136,66100,138613.3,86,True,World Ranking,87,66100,39243,-1872,0,-84,0,-5514.84,0,-985.08
age15-start-national-youth-104729-30y,2035/36,24,25,41,29,12,0,0,35,138,97950,288671.92,87,True,World Ranking,44,97950,64450,-1872,0,-122,0,-6316.64,-180,-4850.74
age15-start-national-youth-104729-30y,2036/37,25,26,48,29,19,0,1,23,142,244450,613789.52,88,True,World Ranking,26,244450,88878,-1872,0,-122,0,-7316.32,-180,1279.92
age15-start-national-youth-104729-30y,2037/38,26,27,40,29,9,2,0,28,140,377000,1134459.46,88,True,World Ranking,14,377000,165458,-1872,0,-122,0,-8026.48,-360,-12407.58
age15-start-national-youth-104729-30y,2038/39,27,28,25,14,11,0,0,18,136,110100,1368887.26,89,True,World Ranking,22,110100,140024,-156,0,-84,0,-8022.68,-360,-8473.52
age15-start-national-youth-104729-30y,2039/40,28,29,26,14,10,2,0,14,139,86850,1605521.36,90,True,World Ranking,50,86850,172092,-1833,0,-122,0,-8836,-180,-12136.9
age15-start-national-youth-104729-30y,2040/41,29,30,39,26,11,2,0,18,135,130750,1861029.56,90,True,World Ranking,36,130750,145288,-1755,0,-84,0,-7178,0,-12512.8
age15-start-national-youth-104729-30y,2041/42,30,31,35,25,10,0,0,25,141,267450,2256796.28,91,True,World Ranking,20,267450,148107,-1872,0,-122,0,-7238.8,-180,-12377.48
