case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age21-start-q-tour-104729-30y,39,2044-06-30,92,94,9192967.8,True,90.22,94.68,96.01,91.75,86.97,94.22,95.79,91.78,93.27,82.2,79.59,78.3,83.6,81.84,77.62
age21-start-q-tour-104729-30y,40,2045-06-30,92,92,9571659.28,True,90.22,94.68,96.01,91.75,86.97,94.22,95.79,91.78,93.27,82.2,79.59,78.3,83.6,81.84,77.62
age21-start-q-tour-104729-30y,41,2046-06-30,91,91,10266166.2,True,89.56,93.96,95.27,91.37,86.63,94.22,95.79,91.78,93.27,82.2,78.31,77.49,82.19,80.96,76.4
age21-start-q-tour-104729-30y,42,2047-06-30,91,91,11090664.12,True,88.76,93.07,94.36,90.91,86.22,94.22,95.79,91.78,93.27,82.2,76.78,76.51,80.5,79.89,74.94
age21-start-q-tour-104729-30y,43,2048-06-30,90,90,12165006.95,True,87.8,92.02,93.28,90.36,85.72,94.22,95.79,91.78,93.27,82.2,74.99,75.36,78.53,78.64,73.24
age21-start-q-tour-104729-30y,44,2049-06-30,89,89,13059060.49,True,86.69,90.8,92.03,89.71,85.14,94.22,95.79,91.78,93.27,82.2,72.96,74.03,76.31,77.19,71.31
age21-start-q-tour-104729-30y,45,2050-06-30,88,88,14897244.37,True,85.42,89.41,90.6,88.97,84.47,94.22,95.79,91.78,93.27,82.2,70.72,72.53,73.86,75.55,69.16
age21-start-q-tour-104729-30y,46,2051-06-30,88,88,15752305.9,True,83.99,87.84,88.99,88.11,83.7,94.22,95.79,91.78,93.27,82.2,68.26,70.85,71.18,73.73,66.82
age21-start-q-tour-104729-30y,47,2052-06-30,86,86,16516947.13,True,82.41,86.11,87.21,87.16,82.83,94.15,95.72,91.75,93.27,82.18,65.65,69.02,68.34,71.76,64.31
age21-start-q-tour-104729-30y,48,2053-06-30,85,85,17226527.1,True,80.68,84.22,85.28,86.09,81.87,94.0,95.57,91.7,93.27,82.13,62.91,67.05,65.37,69.62,61.68
age21-start-q-tour-104729-30y,49,2054-06-30,84,84,17661621.76,True,78.81,82.18,83.18,84.92,80.81,93.75,95.3,91.6,93.27,82.05,60.06,64.95,62.29,67.35,58.94
age21-start-q-tour-104729-30y,50,2055-06-30,82,82,17974883.8,False,76.78,79.98,80.93,83.63,79.64,93.37,94.91,91.46,93.27,81.93,57.12,62.71,59.13,64.95,56.11
age21-start-q-tour-104729-30y,51,2056-06-30,81,81,18085965.64,False,74.62,77.63,78.52,82.22,78.36,92.83,94.36,91.25,93.27,81.77,54.13,60.37,55.93,62.44,53.22
age21-start-q-tour-130363-30y,21,2026-05-11,72,90,8000,False,65,76,75,58,64,70,74,67,77,64,61,69,77,72,66
age21-start-q-tour-130363-30y,22,2027-06-30,78,92,26739.01,False,71.36,82.78,83.07,67.53,69.19,78.11,82.21,74.12,82.35,68.32,64.61,70.81,78.35,74.14,68.26
age21-start-q-tour-130363-30y,23,2028-06-30,80,94,49017.23,False,74.92,85.49,86.48,72.14,72.27,82.12,85.81,77.77,84.87,70.4,67.04,72.02,79.26,75.36,69.77
age21-start-q-tour-130363-30y,24,2029-06-30,82,96,77062.46,True,77.2,87.09,88.29,75.21,74.17,84.35,87.69,80.12,86.2,71.81,68.41,72.7,79.78,76.14,70.63
