case,startAge,path,requestedPath,validStartingRoute,seed,status,seasons,endAge,retiredAtStop,matches,wins,losses,draws,winPct,titles,majorTitles,endCash,lowestCash,debtEpisodes,recoveredEpisodes,unresolvedDebt,initialOverall,peakOverall,endOverall,cardGains,cardLosses,issues,seconds,firstCardAge,firstCardSource,seasonsStartingWithCard,seasonsWithNoMatches,worldTitles,averageConfidence,confidenceSamples,weeksAt98Confidence,equipmentWithdrawals
age34-104729,34,start-rookie-pro,start-rookie-pro,True,104729,completed,31,65,False,366,138,221,7,37.7,1,0,787614.37,78,0,0,False,72,83,48,3,4,0,603.187,34,Seeded Main Tour,8,0,0,74.6,1624,0,0
age34-130363,34,start-rookie-pro,start-rookie-pro,True,130363,completed,31,65,False,343,129,210,4,37.61,3,0,769963.47,78,0,0,False,72,83,43,2,3,0,597.266,34,Seeded Main Tour,6,0,0,74,1624,0,0
age35-104729,35,start-top-64,start-top-64,True,104729,completed,30,65,False,304,115,186,3,37.83,2,0,591932.36,78,0,0,False,74,82,48,1,2,0,584.154,35,Ranking Retained,4,0,0,74.5,1572,0,0
age35-130363,35,start-top-64,start-top-64,True,130363,completed,30,65,False,306,114,192,0,37.25,2,0,661575.41,78,0,0,False,74,81,43,1,2,0,582.499,35,Ranking Retained,4,0,0,74.2,1572,0,0
age36-104729,36,start-top-64,start-top-64,True,104729,completed,29,65,False,276,107,168,1,38.77,4,0,450789.84,78,0,0,False,74,81,47,0,1,0,555.097,36,Ranking Retained,2,0,0,74.6,1520,0,0
age36-130363,36,start-top-64,start-top-64,True,130363,completed,29,65,False,284,99,185,0,34.86,2,0,625028.12,78,0,0,False,74,80,43,1,2,0,573.614,36,Ranking Retained,4,0,0,73.8,1520,0,0
age37-104729,37,start-top-64,start-top-64,True,104729,completed,28,65,False,249,80,168,1,32.13,2,0,464670.38,78,0,0,False,74,79,47,0,1,0,527.604,37,Ranking Retained,2,0,0,73.6,1468,0,0
age37-130363,37,start-top-64,start-top-64,True,130363,completed,28,65,False,261,78,183,0,29.89,1,0,566213.11,78,0,0,False,74,79,42,1,2,0,536.359,37,Ranking Retained,4,0,0,72.9,1468,0,0
age38-104729,38,start-top-64,start-top-64,True,104729,completed,27,65,False,255,91,163,1,35.69,3,0,445159.36,78,0,0,False,74,78,47,0,1,0,510.739,38,Ranking Retained,2,0,0,74,1416,0,0
age38-130363,38,start-top-64,start-top-64,True,130363,completed,27,65,False,247,77,170,0,31.17,1,0,435957.36,78,0,0,False,74,78,42,0,1,0,526.026,38,Ranking Retained,2,0,0,73.3,1416,0,0
age39-104729,39,start-top-64,start-top-64,True,104729,completed,26,65,False,227,59,167,1,25.99,1,0,399210.04,78,0,0,False,74,77,46,0,1,0,487.424,39,Ranking Retained,2,0,0,72.6,1363,0,0
age39-130363,39,start-top-64,start-top-64,True,130363,completed,26,65,False,227,65,162,0,28.63,1,0,428841.04,78,0,0,False,74,76,42,0,1,0,476.791,39,Ranking Retained,2,0,0,73.5,1363,0,0
age41-104729,41,start-top-64,start-top-64,True,104729,completed,24,65,False,197,36,161,0,18.27,0,0,384445.64,78,0,0,False,74,74,45,0,1,0,438.84,41,Ranking Retained,2,0,0,71.7,1259,0,0
age41-130363,41,start-top-64,start-top-64,True,130363,completed,24,65,False,206,47,158,1,22.82,1,0,445675.46,78,0,0,False,74,74,39,0,1,0,451.431,41,Ranking Retained,2,0,0,71.6,1259,0,0
age42-104729,42,start-top-64,start-top-64,True,104729,completed,23,65,False,193,41,152,0,21.24,1,0,361952.29,78,0,0,False,74,74,45,0,1,0,419.886,42,Ranking Retained,2,0,0,72.3,1207,0,0
age42-130363,42,start-top-64,start-top-64,True,130363,completed,23,65,False,207,47,159,1,22.71,0,0,507026.6,78,0,0,False,74,74,39,1,2,0,422.917,42,Ranking Retained,4,0,0,71.6,1207,0,0
age43-104729,43,start-top-64,start-top-64,True,104729,completed,22,65,False,181,32,149,0,17.68,0,0,331647.12,78,0,0,False,74,74,45,0,1,0,411.021,43,Ranking Retained,2,0,0,71.3,1155,0,0
age43-130363,43,start-top-64,start-top-64,True,130363,completed,22,65,False,181,28,152,1,15.47,0,0,381801.98,78,0,0,False,74,74,39,0,1,0,396.203,43,Ranking Retained,2,0,0,70.6,1155,0,0
age44-104729,44,start-top-64,start-top-64,True,104729,completed,21,65,False,179,34,145,0,18.99,0,0,286450.74,78,0,0,False,74,74,45,0,1,0,380.871,44,Ranking Retained,2,0,0,71.4,1102,0,0
age44-130363,44,start-top-64,start-top-64,True,130363,completed,21,65,False,186,33,152,1,17.74,0,0,391662.19,78,0,0,False,74,74,39,0,1,0,380.254,44,Ranking Retained,2,0,0,71,1102,0,0
age45-104729,45,start-top-64,start-masters,True,104729,completed,20,65,False,171,34,136,1,19.88,0,0,364360.96,78,0,0,False,74,74,44,0,1,0,353.683,45,Ranking Retained,2,0,0,72.1,1050,0,0
age45-130363,45,start-top-64,start-masters,True,130363,completed,20,65,False,170,29,141,0,17.06,0,0,399565.5,78,0,0,False,74,74,39,0,1,0,356.207,45,Ranking Retained,2,0,0,70.9,1050,0,0
age46-104729,46,start-bottom-tour,start-masters,True,104729,completed,19,65,False,152,26,126,0,17.11,0,0,233125.1,105,0,0,False,72,72,44,0,1,0,349.126,46,Seeded Main Tour,1,0,0,71.9,998,0,0
age46-130363,46,start-bottom-tour,start-masters,True,130363,completed,19,65,False,146,20,126,0,13.7,0,0,243171.48,58.84,0,0,False,72,72,39,0,1,0,347.459,46,Seeded Main Tour,1,0,0,70.8,998,0,0
age47-104729,47,start-bottom-tour,start-masters,True,104729,completed,18,65,False,129,13,116,0,10.08,0,0,261856.79,105,0,0,False,72,72,44,0,1,0,325.194,47,Seeded Main Tour,1,0,0,70.7,946,0,0
age47-130363,47,start-bottom-tour,start-masters,True,130363,completed,18,65,False,142,21,121,0,14.79,0,0,240839.48,58.84,0,0,False,72,72,39,0,1,0,326.148,47,Seeded Main Tour,1,0,0,71.2,946,0,0
age48-104729,48,start-bottom-tour,start-masters,True,104729,completed,17,65,False,142,27,115,0,19.01,0,0,207595.6,105,0,0,False,72,72,45,0,1,0,307.619,48,Seeded Main Tour,1,0,0,71.9,894,0,0
age48-130363,48,start-bottom-tour,start-masters,True,130363,completed,17,65,False,134,20,114,0,14.93,0,0,216038.26,58.84,0,0,False,72,72,40,0,1,0,295.278,48,Seeded Main Tour,1,0,0,71.3,894,0,0
age49-104729,49,start-club-junior,start-masters,False,104729,completed,16,65,False,105,1,104,0,0.95,0,0,184280.86,14.17,0,0,False,51,51,38,0,0,0,286.69,,,0,0,0,67.6,842,0,0
age49-130363,49,start-club-junior,start-masters,False,130363,completed,16,65,False,104,1,103,0,0.96,0,0,156983.94,14.17,0,0,False,51,51,38,0,0,0,279.598,,,0,0,0,67.8,842,0,0
